frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
31, 35, 0.0194863, 0.0140238, 0.000696643, 0.00564958, 0.00366079, 0.00523875, 0.00480377, 0.00606767, 0.00382723, 0.00213611, 0.00728123, 0.0126694, 0.00924256, 0.0103284, 0.00790361, 0.00700412, 0.00601298, 0.00753127, 0.0181695, 0.00630273, 0.0104477, 0.00902223, 0.00737533, 0.00307495, 0.00400466, 0.00220584, 0.00318331, 0.00249927, 0.0123052, 0.0106848, 0.00799996, 0.00638046, 0.00335976, 0.0374435, 0.0167083, 0.0117045, 0.0172117
32, 35, 0.0196004, 0.0145649, 0.000685682, 0.006103, 0.00363932, 0.00539011, 0.00477033, 0.00609902, 0.00378875, 0.00211946, 0.00707755, 0.0127682, 0.00946396, 0.0106787, 0.00748507, 0.00684065, 0.00615288, 0.00765328, 0.0195995, 0.00645079, 0.0118816, 0.0091137, 0.00746101, 0.00354065, 0.00452879, 0.00256071, 0.00348617, 0.00259162, 0.012931, 0.0110599, 0.00827387, 0.00675545, 0.00488285, 0.0387708, 0.0165819, 0.0115187, 0.0169861
33, 36, 0.0196403, 0.0151372, 0.00076402, 0.00657808, 0.00363903, 0.00556314, 0.004759, 0.00617036, 0.00375695, 0.00210315, 0.00688333, 0.0128722, 0.00969538, 0.0110251, 0.0070639, 0.00666759, 0.00625107, 0.00771249, 0.0209489, 0.00660119, 0.0133206, 0.00913213, 0.0075086, 0.00406616, 0.00508309, 0.00288572, 0.00376234, 0.00268788, 0.0135193, 0.0114227, 0.00854278, 0.0071092, 0.00650532, 0.0400538, 0.0163061, 0.0112593, 0.0165819
34, 36, 0.0195945, 0.0157252, 0.00100267, 0.00706753, 0.00364578, 0.00574984, 0.00476764, 0.00628278, 0.00373006, 0.00208587, 0.00670651, 0.0129843, 0.00993498, 0.0113626, 0.00664906, 0.0064874, 0.00633426, 0.00773402, 0.0221903, 0.00674779, 0.0147775, 0.00910215, 0.00754629, 0.00460622, 0.00565427, 0.0031545, 0.00401304, 0.00280822, 0.0140666, 0.0117648, 0.00879844, 0.00743588, 0.00813282, 0.0412959, 0.0158797, 0.0109411, 0.0160008
35, 36, 0.0194304, 0.0163044, 0.0013837, 0.00757533, 0.00365046, 0.00594081, 0.00478937, 0.00643005, 0.00371085, 0.00206829, 0.00655744, 0.0131099, 0.0101816, 0.0116894, 0.00625181, 0.00630477, 0.00642972, 0.007748, 0.0232986, 0.00687542, 0.016273, 0.00905558, 0.00760198, 0.00513222, 0.00625505, 0.00335297, 0.00426052, 0.00296195, 0.0145723, 0.0120765, 0.00902921, 0.00772806, 0.00969306, 0.0425011, 0.0153215, 0.0105918, 0.0152644
36, 36, 0.0191194, 0.0168515, 0.00184032, 0.00811096, 0.00365298, 0.00612965, 0.00481662, 0.00660722, 0.00370617, 0.00205251, 0.00644981, 0.0132579, 0.010432, 0.0120031, 0.00588572, 0.00612458, 0.00655573, 0.00777897, 0.0242613, 0.00696412, 0.0178349, 0.00902017, 0.00769419, 0.00563119, 0.00691184, 0.00347678, 0.00453426, 0.00315248, 0.0150381, 0.0123463, 0.00922169, 0.00797493, 0.0111496, 0.0436729, 0.0146633, 0.0102448, 0.0144046
37, 35, 0.0186652, 0.0173571, 0.00232251, 0.00867534, 0.00365719, 0.00631471, 0.00484261, 0.006813, 0.0037185, 0.00203862, 0.00639786, 0.01344, 0.0106802, 0.0122998, 0.00556523, 0.00595108, 0.00672366, 0.00784305, 0.0250879, 0.00700898, 0.019485, 0.00901314, 0.00783175, 0.00610264, 0.00764284, 0.00352948, 0.00485226, 0.00338347, 0.0154669, 0.0125628, 0.0093632, 0.00816462, 0.0124994, 0.0448173, 0.0139391, 0.00993428, 0.0134546
38, 35, 0.0181047, 0.0178276, 0.00280339, 0.00925977, 0.00366388, 0.00649834, 0.00486271, 0.00704612, 0.00374134, 0.00202378, 0.00640974, 0.013665, 0.0109212, 0.012577, 0.00530162, 0.00578772, 0.006948, 0.00795263, 0.0258012, 0.00703531, 0.0212225, 0.00904114, 0.00801898, 0.00654562, 0.00843228, 0.00351638, 0.00520482, 0.00366139, 0.0158604, 0.0127146, 0.00944226, 0.00828459, 0.0137577, 0.045943, 0.0131806, 0.00969191, 0.0124419
39, 35, 0.0174974, 0.0182828, 0.00327348, 0.00985654, 0.00367139, 0.00668576, 0.00487792, 0.00730382, 0.00376642, 0.00200625, 0.00648481, 0.0139317, 0.0111522, 0.012836, 0.00509955, 0.00563693, 0.00725414, 0.00812468, 0.0264145, 0.00709487, 0.0230205, 0.00910763, 0.0082623, 0.00693715, 0.00921409, 0.00343699, 0.00555289, 0.00399491, 0.0162198, 0.0127904, 0.00944864, 0.00832157, 0.0149417, 0.0470539, 0.0124166, 0.0095468, 0.0113886
40, 35, 0.0169071, 0.0187502, 0.00373552, 0.0104666, 0.00368149, 0.0068826, 0.00489521, 0.00758368, 0.00379342, 0.00198906, 0.00661933, 0.0142288, 0.0113724, 0.0130811, 0.00495686, 0.00550008, 0.00767154, 0.00838269, 0.0269246, 0.00724891, 0.0248426, 0.00922262, 0.00857133, 0.00723246, 0.00989745, 0.00328566, 0.00584964, 0.00439331, 0.0165493, 0.0127816, 0.00937686, 0.00826484, 0.0160619, 0.0481434, 0.0116765, 0.00952168, 0.0103152
