frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
40, 200, 0.00477126, 0.00712916, 0.00169799, 0.00616258, 0.00276882, 0.00485308, 0.00328631, 0.00299465, 0.00143832, 0.00172931, 0.0080551, 0.00357487, 0.00574566, 0.0114693, 0.0108239, 0.0040385, 0.01499, 0.0142131, 0.0199495, 0.0102777, 0.0306349, 0.0117944, 0.0120291, 0.00413082, 0.00936184, 0.00460623, 0.00848938, 0.0128398, 0.0136266, 0.0026379, 0.0049639, 0.00304448, 0.0126205, 0.0209094, 0.00486895, 0.00394047, 0.0049355
41, 200, 0.00488404, 0.00772627, 0.0015642, 0.0067692, 0.00276489, 0.00506756, 0.00328795, 0.00297748, 0.00140536, 0.00172197, 0.00838188, 0.00386991, 0.00581141, 0.0115375, 0.0107988, 0.00402593, 0.0157229, 0.0149035, 0.0206194, 0.0109055, 0.0314059, 0.012403, 0.0127335, 0.00430546, 0.00976532, 0.00471826, 0.00896349, 0.0136926, 0.0145101, 0.00286456, 0.00549999, 0.00331845, 0.0133787, 0.0218914, 0.00519139, 0.00435633, 0.00524647
42, 200, 0.00504852, 0.00836559, 0.00152822, 0.00741952, 0.00279678, 0.00531405, 0.00328666, 0.0029708, 0.00137294, 0.00171115, 0.00871218, 0.00418107, 0.00586434, 0.0115946, 0.0107713, 0.00401437, 0.0164848, 0.0156462, 0.0212982, 0.0115286, 0.0321908, 0.0130895, 0.0134829, 0.00450747, 0.0101619, 0.00487035, 0.00942038, 0.0145468, 0.0153758, 0.00313913, 0.00607764, 0.00363304, 0.0141631, 0.0228451, 0.00555576, 0.00481329, 0.00559714
43, 200, 0.00523932, 0.00903137, 0.00158386, 0.00809824, 0.00286617, 0.00558763, 0.0032736, 0.00296789, 0.00133424, 0.00169148, 0.00903632, 0.00450215, 0.00590138, 0.011638, 0.0107435, 0.00400472, 0.0172691, 0.0164342, 0.0219659, 0.0121455, 0.0330121, 0.0138491, 0.0142674, 0.00473889, 0.0105616, 0.00506504, 0.00986609, 0.015388, 0.0162129, 0.00347118, 0.00669191, 0.00399484, 0.0149689, 0.0237588, 0.0059658, 0.0053107, 0.00599243
44, 200, 0.00543387, 0.00970454, 0.00171469, 0.00878849, 0.00297941, 0.0058839, 0.00324316, 0.00295927, 0.00128703, 0.00166043, 0.00933905, 0.00482358, 0.00592358, 0.0116722, 0.0107219, 0.00399841, 0.0180695, 0.0172521, 0.0226192, 0.0127691, 0.0338696, 0.0146584, 0.0150728, 0.00499906, 0.0109766, 0.00529709, 0.0103169, 0.0162092, 0.0170174, 0.00387242, 0.00734399, 0.00441351, 0.0157843, 0.0246336, 0.00641759, 0.0058391, 0.00643011
45, 200, 0.00562034, 0.0103665, 0.00190212, 0.00947354, 0.00313197, 0.00619102, 0.003196, 0.00293765, 0.00123442, 0.00161952, 0.00961038, 0.00513191, 0.00593871, 0.0117056, 0.0107132, 0.00399656, 0.0188766, 0.0180815, 0.0232644, 0.0134072, 0.0347669, 0.0154911, 0.0158822, 0.00527013, 0.0114251, 0.00555271, 0.0107825, 0.0170016, 0.0177841, 0.00434911, 0.00802961, 0.00489363, 0.0165971, 0.0254727, 0.00690391, 0.00638873, 0.00690378
46, 200, 0.0057842, 0.0110158, 0.00210933, 0.0101528, 0.00329903, 0.00648967, 0.00313915, 0.00290512, 0.00118389, 0.00157402, 0.00984891, 0.00541877, 0.0059522, 0.0117382, 0.0107245, 0.00400111, 0.0196794, 0.0189026, 0.0239037, 0.0140644, 0.0357267, 0.0163261, 0.0166779, 0.00552194, 0.0119211, 0.00581289, 0.0112582, 0.0177563, 0.0185096, 0.00489558, 0.00873324, 0.00542875, 0.0173991, 0.0262755, 0.00741662, 0.00695186, 0.0074055
47, 200, 0.00591879, 0.0116604, 0.00231229, 0.0108328, 0.00345406, 0.0067738, 0.00307848, 0.00286807, 0.00114006, 0.00152761, 0.0100535, 0.0056832, 0.00596656, 0.0117633, 0.0107554, 0.00401245, 0.0204723, 0.0196977, 0.0245318, 0.0147558, 0.0367569, 0.0171426, 0.0174478, 0.00573672, 0.0124484, 0.00606095, 0.0117267, 0.0184743, 0.0192023, 0.00549291, 0.00943656, 0.00600138, 0.0181849, 0.0270407, 0.00794564, 0.00752018, 0.00792533
48, 200, 0.00603248, 0.0122996, 0.00252118, 0.0115099, 0.00359733, 0.00705636, 0.00301391, 0.00283012, 0.00110235, 0.0014795, 0.0102223, 0.00593012, 0.00598396, 0.0117821, 0.0107955, 0.00402694, 0.0212594, 0.0204574, 0.0251469, 0.015502, 0.0378157, 0.0179172, 0.0181903, 0.00592341, 0.0129634, 0.00628988, 0.012169, 0.0191671, 0.0198804, 0.00611457, 0.0101273, 0.00658937, 0.0189533, 0.027774, 0.00848086, 0.00808414, 0.00845292
49, 200, 0.00612263, 0.0129402, 0.00273341, 0.0121867, 0.00374175, 0.00734863, 0.00294596, 0.00279527, 0.00107019, 0.00142973, 0.0103511, 0.00616942, 0.00600041, 0.011796, 0.0108379, 0.00404172, 0.0220491, 0.0211856, 0.0257588, 0.0163117, 0.0388308, 0.0186358, 0.0189129, 0.00610288, 0.0134321, 0.00650303, 0.0125784, 0.0198476, 0.0205616, 0.00673815, 0.0108024, 0.00717558, 0.0197083, 0.0284898, 0.00901522, 0.00863768, 0.00898109
